CHPProbeSetName	H_ARP1-0h	H_ARP1-2h	H_ARP1-4h	H_ARP1-6h	H_ARP1-8h	H_ARP1-10h	H_ARP1-012h		med£¨£©			B-J	C-J	D-J	E-J	F-J	G-J	H-J			mad()			B-J	C-J	D-J	E-J	F-J	G-J	H-J			U1=(x-med)/9*mad	U2	U3	U4	U5	U6	U7		W1	W2	W3	W4	W5	W6	W7			Z1	Z2	Z3	Z4	Z5	Z6	Z7
200030_s_at	3140.8	3301.9	2258	2346.7	3004.1	2340.8	2392.8		2392.8			748	909.1	134.8	46.1	611.3	52	0			134.8			748	909.1	-134.8	-46.1	611.3	-52	0			0.616551269	0.749340587	-0.111111111	-0.037998681	0.503874052	-0.042861853	0		0.147333288	0.048194869	0.867076496	0.959225258	0.276184154	0.953624587	1			110.2052992	43.81395497	-116.8819117	-44.22028438	168.8313733	-49.58847852	0
200031_s_at	5478.2	6249.8	4591.6	4276.3	5696.1	4848.9	5125.8		5125.8			352.4	1124	534.2	849.5	570.3	276.9	0			534.2			352.4	1124	-534.2	-849.5	570.3	-276.9	0			0.073297558	0.233786763	-0.111111111	-0.176692042	0.118619743	-0.05759391	0		0.916771713	0.684745465	0.867076496	0.772702954	0.856751581	0.936164427	1			323.0703518	769.6539025	-463.1922641	-656.4111593	488.6054265	-259.2239298	0
200032_s_at	6070.1	6650.3	4426.7	4641.1	7138.4	4549.6	5474.9		5474.9			595.2	1175.4	1048.2	833.8	1663.5	925.3	0			925.3			595.2	1175.4	-1048.2	-833.8	1663.5	-925.3	0			0.071472315	0.141143413	-0.125869088	-0.100123684	0.199755034	-0.111111111	0		0.919065534	0.824978077	0.84665256	0.881924676	0.737656229	0.867076496	1			547.0278058	969.6792321	-887.4612138	-735.3487946	1227.091137	-802.3058817	0
200033_at	2500.2	2970.7	1999.9	1848.3	2562.7	1789	2174.2		2174.2			326	796.5	174.3	325.9	388.5	385.2	0			326			326	796.5	-174.3	-325.9	388.5	-385.2	0			0.111111111	0.271472393	-0.059406953	-0.111077028	0.132413088	-0.131288344	0		0.867076496	0.625103472	0.933965706	0.86712304	0.837430426	0.83902243	1			282.6669377	497.8949152	-162.7902226	-282.5953987	325.3417204	-323.19144	0
200034_s_at	3058.4	3931.5	2802.5	2831	4143.9	2717.6	2939.1		2939.1			119.3	992.4	136.6	108.1	1204.8	221.5	0			136.6			119.3	992.4	-136.6	-108.1	1204.8	-221.5	0			0.097039206	0.807223036	-0.111111111	-0.087929071	0.979990239	-0.180169188	0		0.886035207	0.023398548	0.867076496	0.898022057	3.14088E-05	0.767469726	1			105.7040002	23.22071949	-118.4426493	-97.07618439	0.037841362	-169.9945444	0
200035_at	204.1	198	168.1	206.6	187.2	109.3	125.3		187.2			16.9	10.8	19.1	19.4	0	77.9	61.9			19.1			16.9	10.8	-19.1	19.4	0	-77.9	-61.9			0.098312973	0.062827225	-0.111111111	0.112856312	0	-0.453170448	-0.360093077		0.884340858	0.929788847	0.867076496	0.864689305	1	0.345294011	0.484716369			14.94536051	10.04171955	-16.56116107	16.77497252	0	-26.89840343	-30.00394324
200036_s_at	3593.4	4384.6	2954.5	3065.7	4218.3	3156.9	3525.5		3525.5			67.9	859.1	571	459.8	692.8	368.6	0			459.8			67.9	859.1	-571	-459.8	692.8	-368.6	0			0.0164081	0.207602339	-0.137982698	-0.111111111	0.167415785	-0.089072544	0		0.983062355	0.725566873	0.829505494	0.867076496	0.786566853	0.896530349	1			66.74993389	623.3345003	-473.647637	-398.6817728	544.9335161	-330.4610865	0
200037_s_at	1545	1540.8	937.8	862.1	1390.5	836.8	1094.6		1094.6			450.4	446.2	156.8	232.5	295.9	257.8	0			257.8			450.4	446.2	-156.8	-232.5	295.9	-257.8	0			0.194121196	0.192311008	-0.067580381	-0.100206879	0.127532109	-0.111111111	0		0.746287237	0.749051364	0.923922146	0.881813448	0.844318285	0.867076496	1			336.1277714	334.2267184	-144.8709925	-205.0216268	249.8337806	-223.5323207	0
200038_s_at	3793.9	4786.1	3072.6	3094.5	4615.3	3201.1	3210.3		3210.3			583.6	1575.8	137.7	115.8	1405	9.2	0			137.7			583.6	1575.8	-137.7	-115.8	1405	-9.2	0			0.470910998	1.271524248	-0.111111111	-0.093439845	1.133704511	-0.007423546	0		0.320449053	0	0.867076496	0.890798901	0	0.992467057	1			187.0140674	0	-119.3964335	-103.1545127	0	-9.130696926	0
200039_s_at	1520	1693.1	1218.4	1264.9	1550.8	1105.6	1147.6		1264.9			255.1	428.2	46.5	0	285.9	159.3	117.3			159.3			255.1	428.2	-46.5	0	285.9	-159.3	-117.3			0.177931227	0.298667783	-0.032433564	0	0.199414103	-0.111111111	-0.08181628		0.770840145	0.581791674	0.965531871	1	0.738179718	0.867076496	0.905932396			196.6413211	249.123195	-44.89723198	0	211.0455813	-138.1252858	-106.26587
